Month,ABCD,WXYZ
2009-01,2815,112
2009-02,2672,118
2009-03,2755,132
2009-04,2721,129
2009-05,2946,121
2009-06,3036,135
2009-07,2282,148
2009-08,2212,148
2009-09,2922,136
2009-10,4301,119
2009-11,5764,104
2009-12,7312,118
2010-01,2541,115
2010-02,2475,126
2010-03,3031,141
2010-04,3266,135
2010-05,3776,125
2010-06,3230,149
2010-07,3028,170
2010-08,1759,170
2010-09,3595,158
2010-10,4474,133
2010-11,6838,114
2010-12,8357,140
2011-01,3113,145
2011-02,3006,150
2011-03,4047,178
2011-04,3523,163
2011-05,3937,172
2011-06,3986,178
2011-07,3260,199
2011-08,1573,199
2011-09,3528,184
2011-10,5211,162
2011-11,7614,146
2011-12,9254,166
2012-01,5375,171
2012-02,3088,180
2012-03,3718,193
2012-04,4514,181
2012-05,4520,183
2012-06,4539,218
2012-07,3663,230
2012-08,1643,242
2012-09,4739,209
2012-10,5428,191
2012-11,8314,172
2012-12,10651,194
2013-01,3633,196
2013-02,4292,196
2013-03,4154,236
2013-04,4121,235
2013-05,4647,229
2013-06,4753,243
2013-07,3965,264
2013-08,1723,272
2013-09,5048,237
2013-10,6922,211
2013-11,9858,180
2013-12,11331,201
2014-01,4016,204
2014-02,3957,188
2014-03,4510,235
2014-04,4276,227
2014-05,4968,234
2014-06,4677,264
2014-07,3523,302
2014-08,1821,293
2014-09,5222,259
2014-10,6872,229
2014-11,10803,203
2014-12,13916,229
2015-01,2639,242
2015-02,2899,233
2015-03,3370,267
2015-04,3740,269
2015-05,2927,270
2015-06,3986,315
2015-07,4217,364
2015-08,1738,347
2015-09,5221,312
2015-10,6424,274
2015-11,9842,237
2015-12,13076,278
2016-01,3934,284
2016-02,3162,277
2016-03,4286,317
2016-04,4676,313
2016-05,5010,318
2016-06,4874,374
2016-07,4633,413
2016-08,1659,405
2016-09,5951,355
2016-10,6981,306
2016-11,9851,271
2016-12,12670,306
2017-01,4348,315
2017-02,3564,301
2017-03,4577,356
2017-04,4788,348
2017-05,4618,355
2017-06,5312,422
2017-07,4298,465
2017-08,1413,467
2017-09,5877,404
